id,layer,failure_mode,signature,property,property_note,evidence,evidence_note,detector
ACQ-F01,Device and OS layer,"Background-execution kill (Doze, vendor optimizers)",Non-random gaps; completeness far below 100%; worsens over weeks.,O+EN,Observation depends on device state and may bias time-aggregated estimands. [EN] additionally if kills are unlogged.,L,"84% of scheduled executions missing across four devices (Gonzalez-Perez et al. 2022); 54.2% geolocation loss in the 625-participant IAB-SMART study (Bähr et al. 2022); no GPS on 49% of observation days in a 2,394-person Beiwe cohort (Yi et al. 2024, a figure that aggregates technical loss with attrition and adherence).","rate,gaps"
ACQ-F02,"Connectivity, backend and integrity layer",Offline-first sync loss / token expiry / duplicate re-sync,Missing or duplicated records; silent truncation.,EN,Integrity and idempotency of the record.,L,Sync and export failures reported but unquantified (Slade et al. 2025); [E] checksums and deduplication rarely described in methods sections.,
ACQ-F03,Wearable and BLE layer,Clock drift / timestamp reconciliation,Drifting session boundaries; misaligned modalities.,M,Instrumental drift; traceability to a common time reference at an uncertainty suited to the measurand.,L,"Tens of ppm, of order seconds per day (Tirado-Andrés et al. 2019); BLE application-layer synchronization error exceeding 25 ms in 28% of sessions, maximum 183 ms (Yan et al. 2017).",monotonic
ACQ-F04,Wearable and BLE layer,BLE disconnection / firmware-dependent buffering,Physiological gaps indistinguishable from true signal absence.,EN+O,Gap provenance unrecorded; observation selectively absent.,E,No systematic reporting of field disconnection and packet-loss rates was identified.,gaps
ACQ-F05,Participant layer,Participant non-adherence / disabled permissions,"Missing sessions, confounded with technical loss.",O,Operator and protocol effects; missing-not-at-random risk.,L,"Mean EMA compliance 79.2% across 477 articles, with 43% of studies below the conventional 80% threshold (Wrzus & Neubauer 2023); permission and authorization failures reported by Slade et al. 2025.",
ACQ-F06,"Metadata, provenance and protocol layer",Mid-study protocol / firmware / configuration change,Discontinuity not marked in the data.,M+EN,Measurement performance may change; the change is not recorded and prior verification is not transferable across it.,L,A January 2019 Google Play policy change cut call- and text-log collection mid-recruitment in RADAR-MDD (Matcham et al. 2022); [E] protocols frequently changed without being versioned.,
ACQ-F07,"Metadata, provenance and protocol layer",Missing schema / software / firmware provenance,Dataset not machine-interpretable or re-executable.,EN,"Severs the provenance chain from a published number back to the act of measurement — the record-fidelity analogue of, but distinct from, metrological traceability.",E,Compare datasheets for datasets (Gebru et al. 2021).,
ACQ-F08,"Metadata, provenance and protocol layer",No accuracy or uncertainty statement,Numbers reported without stated uncertainty.,M,"Measurement uncertainty unstated (JCGM 2008, GUM).",L,Under-reported for wearables with no standardized characterization protocol (Cosoli et al. 2024); over 70% of surveyed light-dosimetry studies reported no sensor calibration (Spitschan et al. 2022).,resting_magnitude
